2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
901,DRFL,70,Hear Me Calling ( v5 ) Hear Me Callin' | One And Only Song was originally called '1 And Only'.,Juice WRLD,J.Views & Purps On The Beat,"Jacob Richards, Jason Williams, Jaycen Joshua, Max Lord, Mike Seaberg & Rashawn McLean",-,File Name (Explicit): Hear Me Calling-Main Mix V3-FNL FIX File Name (Clean): Hear Me Calling-Main Mix V3-FNL FIX CLN Session Title: Hear Me Calling-OG Multitrack.ptf Folder Title: Hear Me Calling Deliverables,,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Intro, Hook & First Verse January 12, 2019. Outro & Second Verse January 23, 2019. Files Exported February 27, 2019.",-,"Surfaced July 8, 2023. Deliverables Surfaced July 8, 2023.",3:11,Alternate Demo Track,Deliverable Session & Original Files 2822kbps (.wav)
902,DRFL,71,Hear Me Calling ( v7 ) Hear Me Callin' | One And Only Song was originally called '1 And Only'.,Juice WRLD,J.Views & Purps On The Beat,"Jacob Richards, Jason Williams, Jaycen Joshua, Max Lord, Mike Seaberg & Rashawn McLean",-,File Name (Explicit): Hear Me Calling-Main Mix V4 FNL File Name (Clean): Hear Me Calling-Main Mix V4 FNL-CLN Session Title: Hear Me Calling-OG Multitrack.ptf Folder Title: Hear Me Calling Deliverables,Hear Me Calling-Full Instrumental V4 FNL,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Intro, Hook & First Verse January 12, 2019. Outro & Second Verse January 23, 2019. Files Exported February 21, 2019.",-,"Surfaced July 8, 2023. Deliverables Surfaced July 8, 2023.",3:11,Alternate Demo Track,Deliverable Session & Original Files 2822kbps (.wav)
903,DRFL,72,HeMotions (feat. Ty Dolla $ign) Motions | Muddy Emotions | The Motions Song was originally called 'Devil Emoji'.,Juice WRLD,Hit-Boy,Max Lord & Unknown,Song originally began as a solo Juice WRLD track.,The Motions Ty V1,Hit-Boys2000,"Juice's Vocals Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Juice's Vocals January 11, 2019.","First Previewed March 27, 2020.","Surfaced April 18, 2023.",3:22,Feature Track,Original File 320kbps (.mp3)
904,DRFL,73,HeMotions (v1.2) Motions | Muddy Emotions | The Motions Song was originally called 'Devil Emoji'.,Juice WRLD,Hit-Boy,Max Lord,"Song is unfinished, contains an open verse.",File Name: juice wrld - HeMotions v1.2 (hit boys2000) Session Title: hit boys2000 v1.2 HeMotions.ptx Folder Title: hit boys2000,Hit-Boys2000,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 11, 2019. Files Exported January 12, 2019.","First Previewed January 12, 2019.","Surfaced January 14, 2023. Session Surfaced January 25, 2026.",3:07,Alternate Solo Demo Track ( Open Verse ),Studio Session & Original Files 2117kbps (.wav) .L/.R 1411kbps (.wav) 320kbps (.mp3)
905,DRFL,74,HeMotions ( v3 ) Motions | Muddy Emotions | The Motions Song was originally called 'Devil Emoji'.,Juice WRLD,Hit-Boy,"Jaycen Joshua, Max Lord & Unknown",-,File Name: HeMotions-Main Mix V2 JJ Session Title: HeMotions-OG Multitrack.ptx Folder Title: HeMotions Deliverables,HeMotions-Full Instrumental V2 FNL,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 11, 2019. File Exported February 2, 2019.",-,"Surfaced July 6, 2023. Deliverables Surfaced July 6, 2023.",3:07,Alternate Solo Demo Track,Deliverable Session & Original File 1411kbps (.wav)
906,DRFL,75,HeMotions ( v4 ) Motions | Muddy Emotions | The Motions Song was originally called 'Devil Emoji'.,Juice WRLD,Hit-Boy,"Jacob Richards, Jaycen Joshua, Max Lord, Mike Seaberg, Rashawn McLean & Thomas Solis",-,File Name (Explicit): HeMotions-Main Mix V2 FNL File Name (Clean): HeMotions-Main Mix V2 FNL-CLN Session Title: HeMotions-OG Multitrack.ptx Folder Title: HeMotions Deliverables,HeMotions-Full Instrumental V2 FNL,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 11, 2019. Files Exported February 23, 2019.",-,"Surfaced July 6, 2023. Deliverables Surfaced July 6, 2023.",3:07,Alternate Solo Demo Track,Deliverable Session & Original Files 2822kbps (.wav)
907,DRFL,76,Herbo Flow Rich Off Rap,Juice WRLD,"G. Ry, Hit-Boy & Mark Sparks",Max Lord,Samples Grand Puba's 'I Like It'. Shares the same sample as 'Where I Need To Be'.,,,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 12, 2019.","First Previewed January 12, 2019.","Surfaced November 28, 2024.",3:07,Throwaway Track,320kbps (.mp3)
908,DRFL,77,Here I Go Again (v1.3) Mansion,Juice WRLD,"Cy Fyre, Purps On The Beat & Rex Kudo",Max Lord,-,juice wrld - here i go again v1.3 (cy rex purps),Cy Rex Purps 2,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded October 22, 2018.","First Previewed October 29, 2018.","Surfaced January 5, 2020.",4:41,Alternate Demo Track,Original File 320kbps (.mp3)
909,DRFL,78,Hide (feat. Seezyn) [v1.3],Juice WRLD,Neil Blanco & PD Beats,Justin Craig & Max Lord,-,hide juice seezyn v1.3,PDDIPPPPP,"Juice's Vocals Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Juice's Vocals April 3, 2018.",-,"Surfaced May 7, 2023.",3:26,Alternate Feature Demo Track ( Complete ),Original File 320kbps (.mp3)
910,DRFL,79,His To Keep (v1.1),Juice WRLD,Rvssian,Max Lord,-,juice wrld - his to keep v1.1 (rvssian dripping),Instrumental: rvssian DRIPPING 140 Open Verse File: juice wrld - his to keep v1.0 (rvssian dripping),"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Intro, Hook & First Verse January 11, 2019. Second Verse January 23, 2019.",-,"Surfaced September 6, 2019.",3:11,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
911,DRFL,80,His To Keep (v1),Juice WRLD,Rvssian,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - his to keep v1.0 (rvssian dripping),rvssian DRIPPING 140,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 11, 2019.","First Previewed January 11, 2019.","Surfaced January 14, 2023.",3:45,Original Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
912,DRFL,81,Hold It Down,Juice WRLD,Ilya Salmanzadeh & Max Martin,Cory Bice & Ilya Salmanzadeh,-,Hold It Down 1.0,,"MXM Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 1, 2019.","First Previewed January 18, 2023.","Surfaced March 23, 2023.",2:21,Throwaway Track,Original File 320kbps (.mp3)
913,DRFL,82,Hope I Did It* Down I Fall,Juice WRLD,DY Krazy & Wheezy,Max Lord,-,,,"The Dominican Hotel Recording Studio, Rue Neuve, Brussels, Belgium.","Recorded March 7, 2019.","First Previewed March 7, 2019.","Surfaced October 26, 2023.",2:51,Throwaway Track,320kbps (.mp3)
914,DRFL,83,I Need It (v1.1) Our Love Story,Juice WRLD,Nick Mira,Max Lord,-,juice wrld - I need it v1.1 (NM painless),Instrumental: NM - Painless 160BPM Loop: nm - forever in pain 160 Loop Kit: Nick Mira - Freakshow Beat Pack: Nick Mira Juice 12.10.19,"Rented Home Recording Studio, Sandy Springs, Atlanta, GA.","Recorded December 12-13, 2018.","First Teased December 24, 2018.","Surfaced March 13, 2022.",3:12,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
915,DRFL,84,I Will Follow (feat. Juice WRLD) [v1.3] Try This,Young Thug,Tank God,Bainz & Max Lord,Song originally began as a solo Young Thug track.,thug juice i will follow ML v1.3 mix,Loop: Hills 151,-,-,"First Previewed July 7, 2019.","Surfaced June 12, 2020.",4:00,Alternate Demo Track,Original File 320kbps (.mp3)
916,DRFL,85,Javelin Drivin' So Fast Song is titled after the instrumental.,Juice WRLD,Nick Mira,Mixtri,"Song is unfinished, contains an open verse. Supposedly sent to Lil Uzi Vert, he was meant to be the featured artist over the open verse.","File Name: Juice Wrld - Javelin DEMO (FREE VERSE LIL UZI) Trackout Folder: Javelin Stems (150BPM, Emin)",Instrumental: NM - Javelin 150BPM Beat Pack: NM_Juice_June17,"Forbes Street Recording Studio, Woolloomooloo, Sydney, Australia.","Recorded January 3, 2019.",-,"Surfaced January 18, 2020. Trackouts Surfaced May 27, 2025.",3:24,Original Solo Demo Track ( Open Verse ),Trackout Session & Original File 320kbps (.mp3)
917,DRFL,86,Journey*,Juice WRLD,Ilya Salmanzadeh & Max Martin,Cory Bice & Ilya Salmanzadeh,-,,,"MXM Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 1, 2019.",-,"Surfaced March 23, 2023.",2:34,Throwaway Track,320kbps (.mp3)
918,DRFL,87,Juck Dome Song is titled after the instrumental.,Juice WRLD,CuBeatz & Nick Mira,Mixtri,-,"File Name: Juice Wrld - Juck (DEMO) Trackout Folder: Juck Stem Out (164BPM, AMaj)",Instrumental: NM x Cu - Juck 164BPM Loop: juck_83bpm Loop Kit: CuBeatz - nick mira x cubeatz 3 Beat Pack: NM_Juice August 4.18,"Forbes Street Recording Studio, Woolloomooloo, Sydney, Australia.","Recorded January 3, 2019.",-,"Surfaced January 18, 2020. Trackouts Surfaced November 18, 2023.",3:07,Throwaway Track,Trackout Session & Original File 320kbps (.mp3)
919,DRFL,88,Juice WRLD DID (v1.2) Another One | DJ Khaled Song was originally called 'Another 1'.,Juice WRLD,Nick Mira,Max Lord,"Shares the same instrumental as Yung Bans' 'Eeny, Miny, Moe'.",juice wrld - another 1 v1.2 (NM Chalice),Instrumental: NM - Chalice 148BPM Loop: nick mira_victorylaps_140 Loop Kit: Nick Mira - Majesty Beat Pack: Nick Mira Juice 12.10.19,"Rented Home Recording Studio, Sandy Springs, Atlanta, GA.","Recorded December 13, 2018. .L/.R Files Exported August 13, 2022.","First Previewed February 6, 2019.","Surfaced June 19, 2020.",3:27,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) .L/.R 1411kbps (.wav) 320kbps (.mp3)
920,DRFL,89,Karma Can't Take The Pain | Designer,Juice WRLD,"DatBoiGetro, Gunboi & PVLACE",Max Lord,-,Juice Wrld - Karma v1.0 (emely),Instrumental: Emely beat Loop: EMELY A Minor 75 BPM Instrumental Stems: emely 154,"Hilton Munich Park Hotel Recording Studio, Tivoli, Munich, Germany.","Recorded February 20-21, 2019. File Exported February 20-28, 2019.","First Previewed March 3, 2019. First Teased May 1, 2019.","Surfaced June 5, 2025.",3:35,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
921,DRFL,90,Keep That (v1.3),Juice WRLD,Dre Moon,Max Lord,-,File Name: Juice Wrld - 1724 moon v1.3 keep that Session Title: 1724 moon v1.3 keep that.ptx Folder Title: 1724 moon,1724(77),"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 4-5, 2019. File Exported February 10, 2023.","First Previewed February 4-5, 2019.","Surfaced January 25, 2026.",3:13,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
922,DRFL,91,KelTec Talk Hi-Tech Talk,Juice WRLD,DY Krazy,Florian Ongonga,-,JUICE - KILL TECH TOP Prod. DY,,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 29, 2018.","First Previewed December 2, 2018.","Surfaced October 12, 2020.",3:02,Throwaway Track,Original File 320kbps (.mp3)
923,DRFL,92,Key Card (v1.2) Impatient,Juice WRLD,Seezyn,Max Lord,-,juice wrld - KEY CARD v1.2,KEY CARD,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded October 22, 2018.","First Teased November 11, 2018.","Surfaced March 2, 2020.",3:26,Alternate Demo Track,Original File 320kbps (.mp3)
924,DRFL,93,KTM Drip (v1.1) Don't Fall Off Song was originally called 'Yee-Haw'.,Juice WRLD,Dorien Theus & Nick Mira,Max Lord,-,juice wrld - yee haw v1.1 RUFF (ctrl NM),Instrumental: NM x DT - Ctrl 160BPM Loop: DT - CleanBean 160 Loop Kit: DT - Grace Beat Pack: nick juice oct 29 2018,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 17, 2018.","First Previewed November 17, 2018.","Surfaced March 9, 2022.",4:11,Alternate Solo Demo Track ( Complete ),Original File 320kbps (.mp3)
925,DRFL,94,Kurtis Blow (v1.1) Lord Knows,Juice WRLD,DY Krazy & Wheezy,Max Lord,-,Juice Wrld - kurtis Blow v1.1 (DYNS207WHEEZY),DYNS207WHEEZY,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 13-14, 2019. File Exported January 15, 2019.","First Previewed January 13-14, 2019.","Surfaced January 24, 2023.",2:05,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
926,DRFL,95,Lair (v1.2) Leave Me Alone | Void,Juice WRLD,Cardo Got Wings,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - Lair v1.2 MASE 3 Cardo open,MASE 3 Cardo,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 11, 2019. File Exported April 20-29, 2019.","First Previewed January 11, 2019.","Surfaced March 3, 2022.",2:54,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
927,DRFL,96,Late Night Something Ain't Right,Juice WRLD,Southside & Unknown,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld -Late night v1.0 henderson 1 2,henderson 1 2,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 12, 2019.","First Previewed January 12, 2019.","Surfaced December 20, 2023.",3:44,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
928,DRFL,97,Late Night (v1.1) Amazing,Juice WRLD,T-Minus,Patrik Ehrenbald-Plummer,-,File Name: Juice - Late Night 1.1 Session Title: Juice fluseasons.ptx,TMINUS fluseasons,"Serenity West Recording Studio, Hollywood, Los Angeles, CA.","Recorded December 23, 2018.","First Previewed February 6, 2019.","Surfaced November 14, 2020. Session Surfaced March 4, 2024.",2:42,Alternate Demo Track,Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
929,DRFL,98,Late Night (v1) Amazing,Juice WRLD,T-Minus,Patrik Ehrenbald-Plummer,-,File Name: Juice - Late Night Session Title: Juice fluseasons.ptx,TMINUS fluseasons,"Serenity West Recording Studio, Hollywood, Los Angeles, CA.","Recorded December 23, 2018.",-,"Surfaced February 26, 2023. Session Surfaced March 4, 2024.",2:42,Original Demo Track,Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
930,DRFL,99,Late Night Thoughts,Juice WRLD,Nick Mira,Florian Ongonga,Shares the same instrumental as Poorstacy's 'Safety'.,JUICE - LATE NIGHT THOUGHTS Prod. NIck,Instrumental: NM - Dawn 168BPM Beat Pack: nm_juice 9.19,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded December 1, 2018.","First Previewed May 17, 2022. First Teased December 1, 2018.","Surfaced June 8, 2022.",3:37,Throwaway Track,Original File 320kbps (.mp3)
931,DRFL,100,Leave Me Dead Change | Contained Song is titled after the instrumental.,Juice WRLD,Seezyn,Max Lord,-,,LEAVE ME DEAD,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 10, 2018.","First Previewed November 10, 2018.","Surfaced June 1, 2021.",3:29,Throwaway Track,320kbps (.mp3)
932,DRFL,101,Lesson*,Juice WRLD,BasedKash,Max Lord,-,,dang,-,-,"First Previewed February 10, 2024.","Surfaced July 29, 2024.",1:48,Throwaway Track,320kbps (.mp3)
933,DRFL,102,Lock Box,Juice WRLD,G. Ry & Hit-Boy,Max Lord,-,HB x juice 3 v1.0 Lock Box,,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 9-10, 2019.",-,"Surfaced July 27, 2019.",2:21,Throwaway Track,Original File 320kbps (.mp3)
934,DRFL,103,Long Weekend* (v1) Rims Song is untitled.,Juice WRLD,Nikko Bunkin & Swae,Kevin Celik,"Song is unfinished, contains an open verse.",File Name: JUICE 12.4 3 KC_RUF Session Title: JUICE 12.4 3.ptx,madusa [Prod By Nikko Bunkin & Swae],"Paramount Track Record North Studio, North Hollywood, Los Angeles, CA.","Recorded December 5, 2018.","First Previewed December 5, 2018.","Surfaced September 23, 2022. Session Surfaced February 12, 2025.",3:42,Original Demo Track ( Open Verse ),Studio Session & Original File 224kbps (.mp3)
935,DRFL,104,Look (v1.2) Look At Me,Juice WRLD,Dorien Theus,Max Lord,-,juice wrld - LOOK v1.2 (dt finest),DT - Finest 170BPM,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded December 20-22, 2018.","First Previewed October 31, 2023.","Surfaced December 2, 2024.",3:34,Alternate Demo Track ( Complete ),Original File 320kbps (.mp3)
936,DRFL,105,Lost In My Head (v1.4),Juice WRLD,Ilya Salmanzadeh & Max Martin,Cory Bice & Ilya Salmanzadeh,-,Lost in my head 1.4,,"MXM Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 1, 2019.","First Previewed March 22, 2023.","Surfaced March 23, 2023.",2:47,Alternate Demo Track,Original File 320kbps (.mp3)
937,DRFL,106,Lurkin' Lotti Lotti | New Girl,Juice WRLD,Gezin & Snaremax,Max Lord,-,File Name: juice wrld - Lurkin v1.0 (solid rock 49) Session Title: solid rock 49 GZ lurkin v1.0.ptx Folder Title: solid rock 49 GZ,solid rock 49 x snaremax,"Rented Home Recording Studio, Sandy Springs, Atlanta, GA.","Recorded November 30, 2018. File Exported December 1, 2018.","First Previewed November 30, 2018. First Teased February 20, 2019.","Surfaced July 13, 2020. Session Surfaced September 22, 2022.",2:08,Throwaway Track,Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
938,DRFL,107,Make Believe (v1) Song was originally untitled.,Juice WRLD,"Boi-1da, Jahaan Sweet, TBHits & Tone Jones",Billy Hickey,Samples Luiz Bonfá & Stan Getz's 'Saudade Vem Correndo'.,File Name: Juice_Boi1da_Tommy Brown 1_12.18.18 Session Title: Moving Away 1.ptx Session Title (2): Juice_Boi1da_Tommy Brown 1.ptx,Instrumental: 3030 - TJ JUICE BEAT Instrumental Stems: 3030 - TJ JUICE BEAT (FILES),"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded December 18, 2018.","First Previewed December 18, 2018.","Surfaced October 16, 2022. Session Surfaced February 28, 2023.",2:02,Original Demo Track,Studio Session & Original Files 2822kbps (.wav) 320kbps (.mp3)
939,DRFL,108,Make Believe ( v2 ) Song was originally untitled.,Juice WRLD,"Boi-1da, Jahaan Sweet, TBHits & Tone Jones",Billy Hickey & Unknown,Samples Luiz Bonfá & Stan Getz's 'Saudade Vem Correndo'.,JuiceWRLD - Make Believe,Instrumental: 3030 - TJ JUICE BEAT Instrumental Stems: 3030 - TJ JUICE BEAT (FILES),"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded December 18, 2018.",-,"Surfaced January 22, 2023.",2:22,Alternate Demo Track,Original File 160kbps (.mp3)
940,DRFL,109,Make Believe ( v9 ) Song was originally untitled.,Juice WRLD,"Boi-1da, Jahaan Sweet, TBHits & Tone Jones","Billy Hickey, Jacob Richards, Jaycen Joshua, Max Lord, Mike Seaberg & Rashawn McLean",Samples Luiz Bonfá & Stan Getz's 'Saudade Vem Correndo'.,File Name (Explicit): Make Believe-Main Mix V6 FNL-Sped Up 2bpm File Name (Clean): Make Believe-Main Mix V6 FNL CLN-Sped Up 2bpm Session Title: Make Believe-OG Multitrack.ptx Folder Title: Make Believe Deliverables,Make Believe-Instrumental V6 FNL-Sped Up 2bpm,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded December 18, 2018. Files Exported February 23, 2019.",-,"Surfaced November 22, 2022. Deliverables Surfaced November 22, 2022.",2:21,Alternate Demo Track,Deliverable Session & Original Files 2822kbps (.wav)
941,DRFL,110,Make No Noise Kill 'Em,Juice WRLD,Dee Jae & T-Minus,Patrik Ehrenbald-Plummer,-,File Name: Juice - Make No Noise Session Title: Juice deejayrock.ptx,TMINUS deejaerock,"Serenity West Recording Studio, Hollywood, Los Angeles, CA.","Recorded December 23, 2018.","First Previewed January 3, 2019.","Surfaced October 17, 2022. Session Surfaced July 13, 2023.",3:04,Throwaway Track,Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
942,DRFL,111,Mama Said,Juice WRLD,Bobby Raps & DY Krazy,Florian Ongonga,-,JUICE - MAMA SAID Prod. DY,,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 29, 2018.",-,"Surfaced September 15, 2022.",3:02,Throwaway Track,Original File 320kbps (.mp3)
943,DRFL,112,Mannequin Challenge (with Young Thug) [v1] Grandpa Drippin',Juice WRLD & Young Thug,T-Minus,Bainz & Florian Ongonga,-,Manikin Challege,,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded December 1, 2018.","First Previewed March 20, 2019. First Teased May 23, 2019.","Surfaced August 30, 2023.",2:39,Original Demo Track ( Complete ),Original File 320kbps (.mp3)
944,DRFL,113,Maze (v1.2),Juice WRLD,"Boi-1da, Don Mills & Jahaan Sweet",Max Lord,-,juice wrld - Maze v1.2 (SWEET MILOS),Instrumental: 3030 - SWEET MILOS BEAT - B Minor Open Verse File: juice wrld - Maze v1.0 (SWEET MILOS) Loop: 2. VINTAGE 4 (160 BPM) REF Instrumental Stems: 3030 - SWEET MILOS BEAT,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Intro, Hook & First Verse January 10, 2019. Second Verse January 23, 2019.",-,"Surfaced January 16, 2020.",3:24,Alternate Demo Track,Original Files 2117kbps (.wav) .L/.R 1411kbps (.wav)
945,DRFL,114,Maze (v1),Juice WRLD,"Boi-1da, Don Mills & Jahaan Sweet",Max Lord,"Song is unfinished, contains an open verse.",File Name: juice wrld - Maze v1.0 (SWEET MILOS) Session Title: 3030 SWEET MILOS 2 v1.0 Maze.ptx Folder Title: 3030 SWEET MILOS 2,Instrumental: 3030 - SWEET MILOS BEAT - B Minor Loop: 2. VINTAGE 4 (160 BPM) REF Instrumental Stems: 3030 - SWEET MILOS BEAT,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 10, 2019. File Exported January 11, 2019.",-,"Surfaced January 14, 2023. Session Surfaced January 25, 2026.",3:36,Original Demo Track ( Open Verse ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
946,DRFL,115,Maze (v1) [Preview],Juice WRLD,"Boi-1da, Don Mills & Jahaan Sweet",Max Lord,-,File Name: juice wrld - Maze v1.0 PREVIEW Session Title: 3030 SWEET MILOS 2 v1.0 Maze.ptx Folder Title: 3030 SWEET MILOS 2,Instrumental: 3030 - SWEET MILOS BEAT - B Minor Loop: 2. VINTAGE 4 (160 BPM) REF Instrumental Stems: 3030 - SWEET MILOS BEAT,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 10, 2019. File Exported January 18, 2019.",-,"Surfaced January 25, 2026. Session Surfaced January 25, 2026.",2:05,Original Misc. Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
947,DRFL,116,Maze ( v4 ),Juice WRLD,"Boi-1da, Don Mills & Jahaan Sweet","Jacob Richards, Jaycen Joshua, Max Lord, Mike Seaberg, Ramon Gonzalez & Rashawn McLean",-,File Name: Maze-Main Mix V2 FNL Session Title: Maze-OG Multitrack.ptx Folder Title: Maze Deliverables,Instrumental: Maze-Instrumental V2 FNL Loop: 2. VINTAGE 4 (160 BPM) REF,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 10, 2019. Files Exported February 24, 2019.",-,"Surfaced October 16, 2022. Deliverables Surfaced December 30, 2023.",2:24,Alternate Demo Track,Deliverable Session & Original Files 2822kbps (.wav)
948,DRFL,117,McLaren Drive I Don't Care | Stop And Stare | Tic-Tac-Toe,Juice WRLD,Nick Mira,Florian Ongonga,-,JUICE - MACLAREN DRIVE Prod. NIck,Instrumental: NM - Injection 160BPM Beat Pack: nick juice oct 29 2018,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 30, 2018.","First Previewed November 30, 2018.","Surfaced April 22, 2021.",3:17,Throwaway Track,Original File 320kbps (.mp3)
949,DRFL,118,Memo* Sip Slow,Juice WRLD,Unknown,Max Lord,-,,,-,-,"First Previewed February 10, 2024.","Surfaced August 22, 2024.",1:35,Throwaway Track,320kbps (.mp3)
950,DRFL,119,Miles Away (v1.1) Elevate Song is titled after the instrumental.,Juice WRLD,Nick Mira,Max Lord,"Song is unfinished, contains an open verse.",juice wrld -NM milesaway v1.1,Instrumental: NM - Milesaway 155BPM Loop Stems: nm - thousandmilesaway 160 Loop Kit: Nick Mira - Freakshow Beat Pack: nm - juice - oct 18,"Rented Apartment Recording Studio, Downtown, Chicago, IL.","Recorded November 3, 2018. File Exported November 1-9, 2018",-,"Surfaced January 1, 2020.",4:07,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
951,DRFL,120,"Mo' Bucks (with Seezyn) [v1] Song was originally titled 'Sting', after the instrumental.",Juice WRLD & Seezyn,Marz,Seezyn,-,seezyn & Juice Wrld - STING (unmixed),sting,"Rented Home Recording Studio , West Hollywood , Los Angeles, CA.","Recorded November 11, 2018.","First Previewed August 20, 2019.","Surfaced August 17, 2025.",3:13,Original Demo Track ( Complete ),Original File 128kbps (.m4a)
952,DRFL,121,Moncler Year (v1.2),Juice WRLD,Gezin,Max Lord,-,juice wrld - Monclair year v1.2 (PSX 2),PSX 2,"Rented Home Recording Studio, Sandy Springs, Atlanta, GA.","Recorded November 30, 2018. File Exported December 1, 2018.",-,"Surfaced September 3, 2020.",2:47,Alternate Demo Track,Original Files 2117kbps (.wav)
953,DRFL,122,Morning Again In The Morning Again | Mint Juul,Juice WRLD,The Chainsmokers,The Chainsmokers,-,morning again,Mint Juul,"The Chainsmokers' Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded October 23, 2018.","First Previewed October 23, 2018. First Teased October 24, 2018.","Surfaced November 15, 2024.",3:06,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
954,DRFL,123,MoshPit (feat. Juice WRLD) [v2.7],Kodak Black,Natra Average & SkipOnDaBeat,Dyryk & Max Lord,-,juice wrld - moshpit juice kodak 48k v1.7,,"Juice's Vocals [ ? ], [ ? ], Los Angeles, CA.","Kodak's Vocals August [ ? ], 2018. Juice's Vocals November 10-19, 2018.","First Teased December 12, 2018.","Surfaced May 7, 2023.",1:51,Alternate Feature Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
955,DRFL,124,Mr. Freeze (v1.1) Fleur-De-Lis,Juice WRLD,Max Lord & PVLACE,Max Lord,-,Juice Wrld - mr freeze v1.1 (margate 162),margate 162,"Cosmo Hotel Recording Studio, Friedrichswerder, Berlin, Germany.","Recorded February 27, 2019. File Exported April 20-29, 2019.","First Previewed February 27, 2019.","Surfaced July 26, 2020.",3:21,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
956,DRFL,125,"Mula* Friends Song is titled '1772 Moon', after the instrumental.",Juice WRLD,Dre Moon,Max Lord,-,Juice Wrld - 1772 moon v1. 0,1772(82),"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 4-5, 2019.","First Previewed March 19, 2025.","Surfaced February 10, 2026.",5:01,Throwaway Track ( Complete ),320kbps (.mp3)
